# Format is <Y/N>, <X/E>, <Z/RL>, <Label>
# Distances in meters
       -167.119400,        -235.410388,          12.949578, G305.15
       -164.733862,        -239.182680,          14.275660, G305.20
       -179.976290,        -226.050394,          12.570629, G310.00
       -176.760716,        -230.365869,          12.657309, G310.05
       -173.792213,        -234.546503,          12.745992, G310.10
       -170.597223,        -238.709438,          13.053652, G310.15
       -184.125961,        -229.022733,          12.346483, G315.00
       -180.060447,        -234.265847,          12.579412, G315.05
       -177.609992,        -238.410754,          13.197470, G315.10
       -176.040795,        -241.908107,          13.266299, G315.15
       -176.035027,        -246.267647,          13.656426, G315.20
       -188.087728,        -230.289650,          12.012670, G320.00
       -185.567807,        -234.861797,          12.192147, G320.05
       -183.326378,        -239.539441,          13.185324, G320.10
       -181.001319,        -243.923784,          13.267483, G320.15
       -177.685250,        -251.229910,          13.883721, G320.20
       -192.390841,        -231.689310,          11.572268, G325.00
       -190.933009,        -236.341498,          11.724927, G325.05
       -189.908521,        -240.959531,          12.852366, G325.10
       -188.469935,        -245.754858,          12.731766, G325.15
       -185.197691,        -251.067044,          13.394728, G325.20
       -196.371114,        -236.836974,          11.134105, G330.05
       -195.607894,        -241.952916,          11.495708, G330.10
       -195.021852,        -247.124615,          11.715234, G330.15
       -194.163826,        -252.844433,          12.676397, G330.20
       -201.853125,        -231.826947,          10.448693, G335.00
       -202.784640,        -236.785305,          10.644369, G335.05
       -203.097809,        -241.686036,          10.326134, G335.10
       -202.507887,        -246.242330,          10.355128, G335.15
       -203.942416,        -251.768127,          10.393952, G335.20
       -206.287191,        -229.535575,          10.397556, G340.00
       -207.395866,        -234.733425,           9.734796, G340.05
       -208.334008,        -239.665204,           9.332682, G340.10
       -209.268436,        -244.658948,           9.006121, G340.15
       -210.169993,        -249.945309,           9.016455, G340.20
       -210.804119,        -227.255553,          10.030433, G345.00
       -212.230721,        -232.928509,           9.139203, G345.05
       -213.722567,        -237.830929,           8.517846, G345.10
       -214.464690,        -242.917550,           8.116328, G345.15
       -215.496067,        -247.453929,           7.641222, G345.20
       -215.333275,        -225.136988,           9.463471, G350.00
       -216.695266,        -229.971412,           8.823164, G350.05
       -217.963533,        -234.715822,           8.217507, G350.10
       -217.958051,        -234.713213,           8.223305, G350.10
       -219.345049,        -239.338688,           7.927489, G350.15
